Location,All_Households,Families,Families_with_Children,Families_without_Children
10001,92840,122776,106452,132545
10002,36982,40045,42054,38639
10003,118161,183787,250001,153480
10004,190223,205202,244000,204130
10005,189702,241094,250001,202042
10006,179044,245764,250001,196500
10007,224063,250001,250001,250001
10009,63717,71135,76618,68646
10010,132988,229709,250001,204877
10011,138272,249545,250001,207181
10012,106467,151028,166534,145000
10013,113191,163951,250001,104234
10014,133501,224625,250001,191483
10016,126628,206816,230733,205769
10017,131045,218875,250001,218161
10018,122484,185688,190417
10019,103792,176972,167896,180424
10021,122169,240453,250001,238064
10022,150718,250001,250001,250001
10023,132605,228389,249033,216875
10024,143623,246034,250001,218864
10025,91624,133439,215882,113859
10026,59691,66157,69625,65399
10027,51938,58680,59837,57456
10028,122969,237537,250001,200524
10029,33720,39845,32484,48020
10030,42348,53586,41500,65152
10031,53660,54699,50643,59748
10032,53525,58919,44799,63411
10033,63093,66075,74659,64422
10034,54406,56284,51677,60904
10035,29799,36645,28300,41685
10036,95301,112342,84337,151719
10037,46263,51536,33839,68094
10038,95702,93156,146473,88095
10039,42278,44253,38400,53777
10040,49677,56530,50405,61463
10044,104808,121453,165431,111228
10065,148441,246005,250001,217072
10069,132500,200150,250001,129701
10075,138640,177237,175724,178698
10128,121829,192940,235861,177072
10280,182760,247627,250001,213482
10282,250001,250001,250001,250001
10301,62052,82267,60223,89521
10302,66096,93750,77853,99420
10303,67215,74187,67266,80817
10304,54199,73135,58781,90167
10305,79742,95406,91282,97097
10306,80834,96131,89390,97884
10307,85103,113839,108073,118715
10308,103027,113498,116021,112661
10309,109457,126350,132473,114768
10310,76075,90379,77165,98788
10312,97407,113327,119989,106667
10314,91505,107154,109945,105450
10451,30349,37332,28590,45956
10452,29579,35155,30744,41150
10453,29136,33760,25919,42783
10454,21447,30076,23561,36085
10455,28585,33920,26502,42637
10456,27917,35269,31099,42260
10457,29767,38096,26999,49338
10458,35423,38624,31754,47544
10459,29284,35536,31228,44762
10460,27545,33282,25665,44649
10461,58305,68066,60313,71779
10462,54278,59538,52707,67672
10463,58408,66470,64616,67402
10464,96366,132596,148594,125915
10465,75617,95996,92754,97953
10466,58393,67912,54786,79009
10467,39372,46530,40961,52038
10468,37804,41488,37437,46462
10469,65399,73973,65407,79935
10470,61266,71506,66393,81667
10471,88722,114241,127000,109429
10472,33498,38655,33327,48573
10473,41508,51096,47887,51921
10474,22965,25429,20114,41220
10475,51951,67383,51838,76474
11001,113300,134087,142500,126994
11004,95436,110406,104965,113256
11005,55313,139313,139313
11040,129344,142316,172879,123484
11096,60675,67726,57303,69375
11101,75581,82636,71175,85750
11102,71382,75440,70625,76609
11103,76234,81250,65463,87625
11104,67751,76895,62898,86176
11105,79883,90013,89266,90222
11106,68530,78526,60128,84849
11109,160625,199823,199796,200030
11201,129248,176004,212770,153573
11203,54457,68184,52683,74184
11204,53093,58848,55430,61938
11205,58872,60319,52478,76273
11206,39753,38430,31411,43341
11207,39382,51643,41909,60492
11208,42403,50726,42306,58472
11209,77917,101737,105378,99627
11210,69385,80453,77935,80736
11211,81228,63639,51088,80625
11212,26521,41115,31196,48587
11213,44831,51262,45618,61229
11214,56911,64478,59230,70241
11215,132091,170511,198075,149919
11216,67795,79242,90183,76490
11217,119375,145365,174612,122331
11218,73470,80422,76073,83956
11219,40683,41839,37642,52323
11220,50191,47150,39276,55656
11221,56900,61331,57606,63711
11222,93488,105557,125326,95679
11223,54023,65254,56319,70825
11224,32549,43584,40706,45255
11225,59820,65968,49952,75721
11226,58257,65178,56446,69486
11228,72902,84054,83297,85298
11229,64631,81481,77106,83701
11230,53070,66240,61640,72023
11231,99643,141500,157463,114776
11232,61200,58913,46942,73433
11233,44905,48545,39279,62063
11234,85807,95976,98967,94328
11235,54646,71542,70663,72566
11236,70793,82853,74329,87984
11237,53303,43640,33151,51954
11238,91846,118291,156853,102133
11239,29172,34528,51786,29907
11354,40786,47405,45768,49046
11355,42507,45619,40483,50417
11356,61859,66463,65347,68000
11357,85818,98213,109881,85985
11358,68848,78357,86042,76767
11360,83063,107188,116944,95662
11361,87892,97203,96057,100285
11362,93333,121625,141975,118036
11363,101019,128009,138750,113571
11364,82028,98424,102846,96783
11365,67642,75409,73354,76273
11366,84301,93913,67014,101607
11367,63546,72975,67392,79414
11368,54211,51779,42746,65063
11369,54184,64000,50651,73498
11370,63706,81712,65069,83893
11372,60659,62626,53508,66051
11373,54584,58918,50813,65610
11374,66795,87591,94310,86692
11375,84713,109994,131646,98606
11377,58948,64678,56743,69458
11378,77710,87242,86062,88705
11379,83883,102200,100813,103559
11385,75340,76414,71612,79628
11411,98207,113769,111648,115350
11412,81608,94103,91181,94878
11413,93432,99229,92703,102446
11414,75471,89181,91742,86996
11415,70900,86948,109130,76979
11416,73370,75471,60061,81333
11417,76868,85046,70104,93378
11418,68920,72047,65565,76121
11419,75835,79508,67548,87696
11420,79273,82528,70540,88871
11421,73107,78779,72021,83675
11422,88130,92304,89972,94028
11423,71194,82156,74429,88560
11426,98987,115136,114034,115602
11427,79385,96292,94575,97409
11428,78368,88320,79250,90433
11429,88300,97941,88531,100052
11432,62148,67198,55290,79468
11433,54253,65591,61544,68725
11434,64087,81641,76721,85763
11435,66137,70354,55066,84334
11436,75222,79740,63969,84737
11691,50267,61360,60325,64441
11692,46819,50516,42614,57188
11693,60569,66250,62188,67741
11694,84485,111046,120943,107721
11697,105750,123438,189400,115000