index,Location,All_Households,Families,Families_with_Children,Families_without_Children
0,10001,92840,122776,106452,132545
1,10002,36982,40045,42054,38639
2,10003,118161,183787,250001,153480
3,10004,190223,205202,244000,204130
4,10005,189702,241094,250001,202042
5,10006,179044,245764,250001,196500
6,10007,224063,250001,250001,250001
7,10009,63717,71135,76618,68646
8,10010,132988,229709,250001,204877
9,10011,138272,249545,250001,207181
10,10012,106467,151028,166534,145000
11,10013,113191,163951,250001,104234
12,10014,133501,224625,250001,191483
13,10016,126628,206816,230733,205769
14,10017,131045,218875,250001,218161
15,10018,122484,185688,190417,NULL
16,10019,103792,176972,167896,180424
17,10021,122169,240453,250001,238064
18,10022,150718,250001,250001,250001
19,10023,132605,228389,249033,216875
20,10024,143623,246034,250001,218864
21,10025,91624,133439,215882,113859
22,10026,59691,66157,69625,65399
23,10027,51938,58680,59837,57456
24,10028,122969,237537,250001,200524
25,10029,33720,39845,32484,48020
26,10030,42348,53586,41500,65152
27,10031,53660,54699,50643,59748
28,10032,53525,58919,44799,63411
29,10033,63093,66075,74659,64422
30,10034,54406,56284,51677,60904
31,10035,29799,36645,28300,41685
32,10036,95301,112342,84337,151719
33,10037,46263,51536,33839,68094
34,10038,95702,93156,146473,88095
35,10039,42278,44253,38400,53777
36,10040,49677,56530,50405,61463
37,10044,104808,121453,165431,111228
38,10065,148441,246005,250001,217072
39,10069,132500,200150,250001,129701
40,10075,138640,177237,175724,178698
41,10128,121829,192940,235861,177072
42,10280,182760,247627,250001,213482
43,10282,250001,250001,250001,250001
44,10301,62052,82267,60223,89521
45,10302,66096,93750,77853,99420
46,10303,67215,74187,67266,80817
47,10304,54199,73135,58781,90167
48,10305,79742,95406,91282,97097
49,10306,80834,96131,89390,97884
50,10307,85103,113839,108073,118715
51,10308,103027,113498,116021,112661
52,10309,109457,126350,132473,114768
53,10310,76075,90379,77165,98788
54,10312,97407,113327,119989,106667
55,10314,91505,107154,109945,105450
56,10451,30349,37332,28590,45956
57,10452,29579,35155,30744,41150
58,10453,29136,33760,25919,42783
59,10454,21447,30076,23561,36085
60,10455,28585,33920,26502,42637
61,10456,27917,35269,31099,42260
62,10457,29767,38096,26999,49338
63,10458,35423,38624,31754,47544
64,10459,29284,35536,31228,44762
65,10460,27545,33282,25665,44649
66,10461,58305,68066,60313,71779
67,10462,54278,59538,52707,67672
68,10463,58408,66470,64616,67402
69,10464,96366,132596,148594,125915
70,10465,75617,95996,92754,97953
71,10466,58393,67912,54786,79009
72,10467,39372,46530,40961,52038
73,10468,37804,41488,37437,46462
74,10469,65399,73973,65407,79935
75,10470,61266,71506,66393,81667
76,10471,88722,114241,127000,109429
77,10472,33498,38655,33327,48573
78,10473,41508,51096,47887,51921
79,10474,22965,25429,20114,41220
80,10475,51951,67383,51838,76474
81,11001,113300,134087,142500,126994
82,11004,95436,110406,104965,113256
83,11005,55313,139313,139313,NULL
84,11040,129344,142316,172879,123484
85,11096,60675,67726,57303,69375
86,11101,75581,82636,71175,85750
87,11102,71382,75440,70625,76609
88,11103,76234,81250,65463,87625
89,11104,67751,76895,62898,86176
90,11105,79883,90013,89266,90222
91,11106,68530,78526,60128,84849
92,11109,160625,199823,199796,200030
93,11201,129248,176004,212770,153573
94,11203,54457,68184,52683,74184
95,11204,53093,58848,55430,61938
96,11205,58872,60319,52478,76273
97,11206,39753,38430,31411,43341
98,11207,39382,51643,41909,60492
99,11208,42403,50726,42306,58472
100,11209,77917,101737,105378,99627
101,11210,69385,80453,77935,80736
102,11211,81228,63639,51088,80625
103,11212,26521,41115,31196,48587
104,11213,44831,51262,45618,61229
105,11214,56911,64478,59230,70241
106,11215,132091,170511,198075,149919
107,11216,67795,79242,90183,76490
108,11217,119375,145365,174612,122331
109,11218,73470,80422,76073,83956
110,11219,40683,41839,37642,52323
111,11220,50191,47150,39276,55656
112,11221,56900,61331,57606,63711
113,11222,93488,105557,125326,95679
114,11223,54023,65254,56319,70825
115,11224,32549,43584,40706,45255
116,11225,59820,65968,49952,75721
117,11226,58257,65178,56446,69486
118,11228,72902,84054,83297,85298
119,11229,64631,81481,77106,83701
120,11230,53070,66240,61640,72023
121,11231,99643,141500,157463,114776
122,11232,61200,58913,46942,73433
123,11233,44905,48545,39279,62063
124,11234,85807,95976,98967,94328
125,11235,54646,71542,70663,72566
126,11236,70793,82853,74329,87984
127,11237,53303,43640,33151,51954
128,11238,91846,118291,156853,102133
129,11239,29172,34528,51786,29907
130,11354,40786,47405,45768,49046
131,11355,42507,45619,40483,50417
132,11356,61859,66463,65347,68000
133,11357,85818,98213,109881,85985
134,11358,68848,78357,86042,76767
135,11360,83063,107188,116944,95662
136,11361,87892,97203,96057,100285
137,11362,93333,121625,141975,118036
138,11363,101019,128009,138750,113571
139,11364,82028,98424,102846,96783
140,11365,67642,75409,73354,76273
141,11366,84301,93913,67014,101607
142,11367,63546,72975,67392,79414
143,11368,54211,51779,42746,65063
144,11369,54184,64000,50651,73498
145,11370,63706,81712,65069,83893
146,11372,60659,62626,53508,66051
147,11373,54584,58918,50813,65610
148,11374,66795,87591,94310,86692
149,11375,84713,109994,131646,98606
150,11377,58948,64678,56743,69458
151,11378,77710,87242,86062,88705
152,11379,83883,102200,100813,103559
153,11385,75340,76414,71612,79628
154,11411,98207,113769,111648,115350
155,11412,81608,94103,91181,94878
156,11413,93432,99229,92703,102446
157,11414,75471,89181,91742,86996
158,11415,70900,86948,109130,76979
159,11416,73370,75471,60061,81333
160,11417,76868,85046,70104,93378
161,11418,68920,72047,65565,76121
162,11419,75835,79508,67548,87696
163,11420,79273,82528,70540,88871
164,11421,73107,78779,72021,83675
165,11422,88130,92304,89972,94028
166,11423,71194,82156,74429,88560
167,11426,98987,115136,114034,115602
168,11427,79385,96292,94575,97409
169,11428,78368,88320,79250,90433
170,11429,88300,97941,88531,100052
171,11432,62148,67198,55290,79468
172,11433,54253,65591,61544,68725
173,11434,64087,81641,76721,85763
174,11435,66137,70354,55066,84334
175,11436,75222,79740,63969,84737
176,11691,50267,61360,60325,64441
177,11692,46819,50516,42614,57188
178,11693,60569,66250,62188,67741
179,11694,84485,111046,120943,107721
180,11697,105750,123438,189400,115000
